@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2'

@attribute 'filtered-0-unfiltered-sepal length in cm' {'\'(-inf-4.85]\'','\'(4.85-5.05]\'','\'(5.05-5.35]\'','\'(5.35-5.55]\'','\'(5.55-5.75]\'','\'(5.75-6.05]\'','\'(6.05-6.35]\'','\'(6.35-6.65]\'','\'(6.65-6.95]\'','\'(6.95-inf)\''}
@attribute 'unfiltered-filtered-0-petal width in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(5.05-5.35]\'',0.041667,3.5,1.4,Iris-setosa
'\'(4.85-5.05]\'',0.041667,3,1.4,Iris-setosa
'\'(-inf-4.85]\'',0.041667,3.2,1.3,Iris-setosa
'\'(-inf-4.85]\'',0.041667,3.1,1.5,Iris-setosa
'\'(4.85-5.05]\'',0.041667,3.6,1.4,Iris-setosa
'\'(5.35-5.55]\'',0.125,3.9,1.7,Iris-setosa
'\'(-inf-4.85]\'',0.083333,3.4,1.4,Iris-setosa
'\'(4.85-5.05]\'',0.041667,3.4,1.5,Iris-setosa
'\'(-inf-4.85]\'',0.041667,2.9,1.4,Iris-setosa
'\'(4.85-5.05]\'',0,3.1,1.5,Iris-setosa
'\'(5.35-5.55]\'',0.041667,3.7,1.5,Iris-setosa
'\'(-inf-4.85]\'',0.041667,3.4,1.6,Iris-setosa
'\'(-inf-4.85]\'',0,3,1.4,Iris-setosa
'\'(-inf-4.85]\'',0,3,1.1,Iris-setosa
'\'(5.75-6.05]\'',0.041667,4,1.2,Iris-setosa
'\'(5.55-5.75]\'',0.125,4.4,1.5,Iris-setosa
'\'(5.35-5.55]\'',0.125,3.9,1.3,Iris-setosa
'\'(5.05-5.35]\'',0.083333,3.5,1.4,Iris-setosa
'\'(5.55-5.75]\'',0.083333,3.8,1.7,Iris-setosa
'\'(5.05-5.35]\'',0.083333,3.8,1.5,Iris-setosa
