@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2'

@attribute 'filtered-0-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-filtered-0-sepal length in cm' {'\'(-inf-4.66]\'','\'(4.66-5.02]\'','\'(5.02-5.38]\'','\'(5.38-5.74]\'','\'(5.74-6.1]\'','\'(6.1-6.46]\'','\'(6.46-6.82]\'','\'(6.82-7.18]\'','\'(7.18-7.54]\'','\'(7.54-inf)\''}
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.625,'\'(5.02-5.38]\'',1.4,0.2,Iris-setosa
0.416667,'\'(4.66-5.02]\'',1.4,0.2,Iris-setosa
0.5,'\'(4.66-5.02]\'',1.3,0.2,Iris-setosa
0.458333,'\'(-inf-4.66]\'',1.5,0.2,Iris-setosa
0.666667,'\'(4.66-5.02]\'',1.4,0.2,Iris-setosa
0.791667,'\'(5.38-5.74]\'',1.7,0.4,Iris-setosa
0.583333,'\'(-inf-4.66]\'',1.4,0.3,Iris-setosa
0.583333,'\'(4.66-5.02]\'',1.5,0.2,Iris-setosa
0.375,'\'(-inf-4.66]\'',1.4,0.2,Iris-setosa
0.458333,'\'(4.66-5.02]\'',1.5,0.1,Iris-setosa
0.708333,'\'(5.38-5.74]\'',1.5,0.2,Iris-setosa
0.583333,'\'(4.66-5.02]\'',1.6,0.2,Iris-setosa
0.416667,'\'(4.66-5.02]\'',1.4,0.1,Iris-setosa
0.416667,'\'(-inf-4.66]\'',1.1,0.1,Iris-setosa
0.833333,'\'(5.74-6.1]\'',1.2,0.2,Iris-setosa
1,'\'(5.38-5.74]\'',1.5,0.4,Iris-setosa
0.791667,'\'(5.38-5.74]\'',1.3,0.4,Iris-setosa
0.625,'\'(5.02-5.38]\'',1.4,0.3,Iris-setosa
0.75,'\'(5.38-5.74]\'',1.7,0.3,Iris-setosa
0.75,'\'(5.02-5.38]\'',1.5,0.3,Iris-setosa
0.583333,'\'(5.38-5.74]\'',1.7,0.2,Iris-setosa
0.708333,'\'(5.02-5.38]\'',1.5,0.4,Iris-setosa
0.666667,'\'(-inf-4.66]\'',1,0.2,Iris-setosa
0.541667,'\'(5.02-5.38]\'',1.7,0.5,Iris-setosa
0.583333,'\'(4.66-5.02]\'',1.9,0.2,Iris-setosa
0.416667,'\'(4.66-5.02]\'',1.6,0.2,Iris-setosa
0.583333,'\'(4.66-5.02]\'',1.6,0.4,Iris-setosa
