@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2'

@attribute 'filtered-0-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-petal length in cm' {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.222222,'\'(-inf-0.1]\'',3.5,0.2,Iris-setosa
0.166667,'\'(-inf-0.1]\'',3,0.2,Iris-setosa
0.111111,'\'(-inf-0.1]\'',3.2,0.2,Iris-setosa
0.083333,'\'(-inf-0.1]\'',3.1,0.2,Iris-setosa
0.194444,'\'(-inf-0.1]\'',3.6,0.2,Iris-setosa
0.305556,'\'(0.1-0.2]\'',3.9,0.4,Iris-setosa
0.083333,'\'(-inf-0.1]\'',3.4,0.3,Iris-setosa
0.194444,'\'(-inf-0.1]\'',3.4,0.2,Iris-setosa
0.027778,'\'(-inf-0.1]\'',2.9,0.2,Iris-setosa
0.166667,'\'(-inf-0.1]\'',3.1,0.1,Iris-setosa
0.305556,'\'(-inf-0.1]\'',3.7,0.2,Iris-setosa
0.138889,'\'(0.1-0.2]\'',3.4,0.2,Iris-setosa
0.138889,'\'(-inf-0.1]\'',3,0.1,Iris-setosa
0,'\'(-inf-0.1]\'',3,0.1,Iris-setosa
0.416667,'\'(-inf-0.1]\'',4,0.2,Iris-setosa
