@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2'

@attribute 'filtered-0-unfiltered-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-filtered-0-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(3.44-3.68]\'',0.222222,1.4,0.2,Iris-setosa
'\'(2.96-3.2]\'',0.166667,1.4,0.2,Iris-setosa
'\'(2.96-3.2]\'',0.111111,1.3,0.2,Iris-setosa
'\'(2.96-3.2]\'',0.083333,1.5,0.2,Iris-setosa
'\'(3.44-3.68]\'',0.194444,1.4,0.2,Iris-setosa
'\'(3.68-3.92]\'',0.305556,1.7,0.4,Iris-setosa
'\'(3.2-3.44]\'',0.083333,1.4,0.3,Iris-setosa
'\'(3.2-3.44]\'',0.194444,1.5,0.2,Iris-setosa
'\'(2.72-2.96]\'',0.027778,1.4,0.2,Iris-setosa
'\'(2.96-3.2]\'',0.166667,1.5,0.1,Iris-setosa
'\'(3.68-3.92]\'',0.305556,1.5,0.2,Iris-setosa
'\'(3.2-3.44]\'',0.138889,1.6,0.2,Iris-setosa
'\'(2.96-3.2]\'',0.138889,1.4,0.1,Iris-setosa
'\'(2.96-3.2]\'',0,1.1,0.1,Iris-setosa
'\'(3.92-4.16]\'',0.416667,1.2,0.2,Iris-setosa
'\'(4.16-inf)\'',0.388889,1.5,0.4,Iris-setosa
'\'(3.68-3.92]\'',0.305556,1.3,0.4,Iris-setosa
'\'(3.44-3.68]\'',0.222222,1.4,0.3,Iris-setosa
'\'(3.68-3.92]\'',0.388889,1.7,0.3,Iris-setosa
'\'(3.68-3.92]\'',0.222222,1.5,0.3,Iris-setosa
'\'(3.2-3.44]\'',0.305556,1.7,0.2,Iris-setosa
'\'(3.68-3.92]\'',0.222222,1.5,0.4,Iris-setosa
'\'(3.44-3.68]\'',0.083333,1,0.2,Iris-setosa
'\'(3.2-3.44]\'',0.222222,1.7,0.5,Iris-setosa
