@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2'

@attribute 'filtered-0-unfiltered-sepal width in cm' {'\'(-inf-2.55]\'','\'(2.55-2.75]\'','\'(2.75-2.85]\'','\'(2.85-2.95]\'','\'(2.95-3.05]\'','\'(3.05-3.15]\'','\'(3.15-3.25]\'','\'(3.25-3.45]\'','\'(3.45-3.75]\'','\'(3.75-inf)\''}
@attribute 'unfiltered-filtered-0-sepal length in cm' {'\'(-inf-4.85]\'','\'(4.85-5.05]\'','\'(5.05-5.35]\'','\'(5.35-5.55]\'','\'(5.55-5.75]\'','\'(5.75-6.05]\'','\'(6.05-6.35]\'','\'(6.35-6.65]\'','\'(6.65-6.95]\'','\'(6.95-inf)\''}
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(3.45-3.75]\'','\'(5.05-5.35]\'',1.4,0.2,Iris-setosa
'\'(2.95-3.05]\'','\'(4.85-5.05]\'',1.4,0.2,Iris-setosa
'\'(3.15-3.25]\'','\'(-inf-4.85]\'',1.3,0.2,Iris-setosa
'\'(3.05-3.15]\'','\'(-inf-4.85]\'',1.5,0.2,Iris-setosa
'\'(3.45-3.75]\'','\'(4.85-5.05]\'',1.4,0.2,Iris-setosa
'\'(3.75-inf)\'','\'(5.35-5.55]\'',1.7,0.4,Iris-setosa
'\'(3.25-3.45]\'','\'(-inf-4.85]\'',1.4,0.3,Iris-setosa
'\'(3.25-3.45]\'','\'(4.85-5.05]\'',1.5,0.2,Iris-setosa
'\'(2.85-2.95]\'','\'(-inf-4.85]\'',1.4,0.2,Iris-setosa
'\'(3.05-3.15]\'','\'(4.85-5.05]\'',1.5,0.1,Iris-setosa
'\'(3.45-3.75]\'','\'(5.35-5.55]\'',1.5,0.2,Iris-setosa
'\'(3.25-3.45]\'','\'(-inf-4.85]\'',1.6,0.2,Iris-setosa
'\'(2.95-3.05]\'','\'(-inf-4.85]\'',1.4,0.1,Iris-setosa
