@relation iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2

@attribute 'filtered-0-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-petal width in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-0.897674,-1.308593,3.5,1.4,Iris-setosa
-1.1392,-1.308593,3,1.4,Iris-setosa
-1.380727,-1.308593,3.2,1.3,Iris-setosa
-1.50149,-1.308593,3.1,1.5,Iris-setosa
-1.018437,-1.308593,3.6,1.4,Iris-setosa
-0.535384,-1.046525,3.9,1.7,Iris-setosa
-1.50149,-1.177559,3.4,1.4,Iris-setosa
-1.018437,-1.308593,3.4,1.5,Iris-setosa
-1.743017,-1.308593,2.9,1.4,Iris-setosa
-1.1392,-1.439627,3.1,1.5,Iris-setosa
-0.535384,-1.308593,3.7,1.5,Iris-setosa
-1.259964,-1.308593,3.4,1.6,Iris-setosa
-1.259964,-1.439627,3,1.4,Iris-setosa
-1.86378,-1.439627,3,1.1,Iris-setosa
-0.052331,-1.308593,4,1.2,Iris-setosa
-0.173094,-1.046525,4.4,1.5,Iris-setosa
-0.535384,-1.046525,3.9,1.3,Iris-setosa
-0.897674,-1.177559,3.5,1.4,Iris-setosa
-0.173094,-1.177559,3.8,1.7,Iris-setosa
-0.897674,-1.177559,3.8,1.5,Iris-setosa
-0.535384,-1.308593,3.4,1.7,Iris-setosa
-0.897674,-1.046525,3.7,1.5,Iris-setosa
-1.50149,-1.308593,3.6,1,Iris-setosa
-0.897674,-0.915491,3.3,1.7,Iris-setosa
-1.259964,-1.308593,3.4,1.9,Iris-setosa
-1.018437,-1.308593,3,1.6,Iris-setosa
-1.018437,-1.046525,3.4,1.6,Iris-setosa
-0.776911,-1.308593,3.5,1.5,Iris-setosa
-0.776911,-1.308593,3.4,1.4,Iris-setosa
-1.380727,-1.308593,3.2,1.6,Iris-setosa
-1.259964,-1.308593,3.1,1.6,Iris-setosa
-0.535384,-1.046525,3.4,1.5,Iris-setosa
-0.776911,-1.439627,4.1,1.5,Iris-setosa
-0.414621,-1.308593,4.2,1.4,Iris-setosa
-1.1392,-1.439627,3.1,1.5,Iris-setosa
-1.018437,-1.308593,3.2,1.2,Iris-setosa
-0.414621,-1.308593,3.5,1.3,Iris-setosa
-1.1392,-1.439627,3.1,1.5,Iris-setosa
-1.743017,-1.308593,3,1.3,Iris-setosa
-0.897674,-1.308593,3.4,1.5,Iris-setosa
