@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2'

@attribute 'filtered-0-unfiltered-unfiltered-sepal length in cm' {'\'(-inf-4.85]\'','\'(4.85-5.05]\'','\'(5.05-5.35]\'','\'(5.35-5.55]\'','\'(5.55-5.75]\'','\'(5.75-6.05]\'','\'(6.05-6.35]\'','\'(6.35-6.65]\'','\'(6.65-6.95]\'','\'(6.95-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-petal length in cm' {'\'(-inf--1.22911]\'','\'(-1.22911--0.894723]\'','\'(-0.894723--0.560335]\'','\'(-0.560335--0.225948]\'','\'(-0.225948-0.10844]\'','\'(0.10844-0.442827]\'','\'(0.442827-0.777215]\'','\'(0.777215-1.111602]\'','\'(1.111602-1.445989]\'','\'(1.445989-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(5.05-5.35]\'','\'(-inf--1.22911]\'',3.5,0.2,Iris-setosa
'\'(4.85-5.05]\'','\'(-inf--1.22911]\'',3,0.2,Iris-setosa
'\'(-inf-4.85]\'','\'(-inf--1.22911]\'',3.2,0.2,Iris-setosa
'\'(-inf-4.85]\'','\'(-inf--1.22911]\'',3.1,0.2,Iris-setosa
'\'(4.85-5.05]\'','\'(-inf--1.22911]\'',3.6,0.2,Iris-setosa
'\'(5.35-5.55]\'','\'(-1.22911--0.894723]\'',3.9,0.4,Iris-setosa
'\'(-inf-4.85]\'','\'(-inf--1.22911]\'',3.4,0.3,Iris-setosa
'\'(4.85-5.05]\'','\'(-inf--1.22911]\'',3.4,0.2,Iris-setosa
'\'(-inf-4.85]\'','\'(-inf--1.22911]\'',2.9,0.2,Iris-setosa
'\'(4.85-5.05]\'','\'(-inf--1.22911]\'',3.1,0.1,Iris-setosa
'\'(5.35-5.55]\'','\'(-inf--1.22911]\'',3.7,0.2,Iris-setosa
'\'(-inf-4.85]\'','\'(-1.22911--0.894723]\'',3.4,0.2,Iris-setosa
'\'(-inf-4.85]\'','\'(-inf--1.22911]\'',3,0.1,Iris-setosa
'\'(-inf-4.85]\'','\'(-inf--1.22911]\'',3,0.1,Iris-setosa
'\'(5.75-6.05]\'','\'(-inf--1.22911]\'',4,0.2,Iris-setosa
'\'(5.55-5.75]\'','\'(-inf--1.22911]\'',4.4,0.4,Iris-setosa
'\'(5.35-5.55]\'','\'(-inf--1.22911]\'',3.9,0.4,Iris-setosa
'\'(5.05-5.35]\'','\'(-inf--1.22911]\'',3.5,0.3,Iris-setosa
'\'(5.55-5.75]\'','\'(-1.22911--0.894723]\'',3.8,0.3,Iris-setosa
'\'(5.05-5.35]\'','\'(-inf--1.22911]\'',3.8,0.3,Iris-setosa
'\'(5.35-5.55]\'','\'(-1.22911--0.894723]\'',3.4,0.2,Iris-setosa
'\'(5.05-5.35]\'','\'(-inf--1.22911]\'',3.7,0.4,Iris-setosa
'\'(-inf-4.85]\'','\'(-inf--1.22911]\'',3.6,0.2,Iris-setosa
'\'(5.05-5.35]\'','\'(-1.22911--0.894723]\'',3.3,0.5,Iris-setosa
'\'(-inf-4.85]\'','\'(-1.22911--0.894723]\'',3.4,0.2,Iris-setosa
'\'(4.85-5.05]\'','\'(-1.22911--0.894723]\'',3,0.2,Iris-setosa
'\'(4.85-5.05]\'','\'(-1.22911--0.894723]\'',3.4,0.4,Iris-setosa
'\'(5.05-5.35]\'','\'(-inf--1.22911]\'',3.5,0.2,Iris-setosa
'\'(5.05-5.35]\'','\'(-inf--1.22911]\'',3.4,0.2,Iris-setosa
'\'(-inf-4.85]\'','\'(-1.22911--0.894723]\'',3.2,0.2,Iris-setosa
'\'(-inf-4.85]\'','\'(-1.22911--0.894723]\'',3.1,0.2,Iris-setosa
'\'(5.35-5.55]\'','\'(-inf--1.22911]\'',3.4,0.4,Iris-setosa
