@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2'

@attribute 'filtered-0-unfiltered-sepal width in cm' {'\'(-inf-2.55]\'','\'(2.55-2.75]\'','\'(2.75-2.85]\'','\'(2.85-2.95]\'','\'(2.95-3.05]\'','\'(3.05-3.15]\'','\'(3.15-3.25]\'','\'(3.25-3.45]\'','\'(3.45-3.75]\'','\'(3.75-inf)\''}
@attribute 'unfiltered-filtered-0-sepal length in cm' {'\'(-inf-4.66]\'','\'(4.66-5.02]\'','\'(5.02-5.38]\'','\'(5.38-5.74]\'','\'(5.74-6.1]\'','\'(6.1-6.46]\'','\'(6.46-6.82]\'','\'(6.82-7.18]\'','\'(7.18-7.54]\'','\'(7.54-inf)\''}
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(3.45-3.75]\'','\'(5.02-5.38]\'',1.4,0.2,Iris-setosa
'\'(2.95-3.05]\'','\'(4.66-5.02]\'',1.4,0.2,Iris-setosa
'\'(3.15-3.25]\'','\'(4.66-5.02]\'',1.3,0.2,Iris-setosa
'\'(3.05-3.15]\'','\'(-inf-4.66]\'',1.5,0.2,Iris-setosa
'\'(3.45-3.75]\'','\'(4.66-5.02]\'',1.4,0.2,Iris-setosa
'\'(3.75-inf)\'','\'(5.38-5.74]\'',1.7,0.4,Iris-setosa
'\'(3.25-3.45]\'','\'(-inf-4.66]\'',1.4,0.3,Iris-setosa
'\'(3.25-3.45]\'','\'(4.66-5.02]\'',1.5,0.2,Iris-setosa
'\'(2.85-2.95]\'','\'(-inf-4.66]\'',1.4,0.2,Iris-setosa
'\'(3.05-3.15]\'','\'(4.66-5.02]\'',1.5,0.1,Iris-setosa
'\'(3.45-3.75]\'','\'(5.38-5.74]\'',1.5,0.2,Iris-setosa
'\'(3.25-3.45]\'','\'(4.66-5.02]\'',1.6,0.2,Iris-setosa
'\'(2.95-3.05]\'','\'(4.66-5.02]\'',1.4,0.1,Iris-setosa
'\'(2.95-3.05]\'','\'(-inf-4.66]\'',1.1,0.1,Iris-setosa
'\'(3.75-inf)\'','\'(5.74-6.1]\'',1.2,0.2,Iris-setosa
'\'(3.75-inf)\'','\'(5.38-5.74]\'',1.5,0.4,Iris-setosa
'\'(3.75-inf)\'','\'(5.38-5.74]\'',1.3,0.4,Iris-setosa
'\'(3.45-3.75]\'','\'(5.02-5.38]\'',1.4,0.3,Iris-setosa
'\'(3.75-inf)\'','\'(5.38-5.74]\'',1.7,0.3,Iris-setosa
'\'(3.75-inf)\'','\'(5.02-5.38]\'',1.5,0.3,Iris-setosa
'\'(3.25-3.45]\'','\'(5.38-5.74]\'',1.7,0.2,Iris-setosa
