@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2'

@attribute 'filtered-0-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-petal width in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-0.897674,0.041667,3.5,1.4,Iris-setosa
-1.1392,0.041667,3,1.4,Iris-setosa
-1.380727,0.041667,3.2,1.3,Iris-setosa
-1.50149,0.041667,3.1,1.5,Iris-setosa
-1.018437,0.041667,3.6,1.4,Iris-setosa
-0.535384,0.125,3.9,1.7,Iris-setosa
-1.50149,0.083333,3.4,1.4,Iris-setosa
-1.018437,0.041667,3.4,1.5,Iris-setosa
-1.743017,0.041667,2.9,1.4,Iris-setosa
-1.1392,0,3.1,1.5,Iris-setosa
-0.535384,0.041667,3.7,1.5,Iris-setosa
-1.259964,0.041667,3.4,1.6,Iris-setosa
-1.259964,0,3,1.4,Iris-setosa
-1.86378,0,3,1.1,Iris-setosa
-0.052331,0.041667,4,1.2,Iris-setosa
-0.173094,0.125,4.4,1.5,Iris-setosa
-0.535384,0.125,3.9,1.3,Iris-setosa
-0.897674,0.083333,3.5,1.4,Iris-setosa
-0.173094,0.083333,3.8,1.7,Iris-setosa
-0.897674,0.083333,3.8,1.5,Iris-setosa
-0.535384,0.041667,3.4,1.7,Iris-setosa
-0.897674,0.125,3.7,1.5,Iris-setosa
-1.50149,0.041667,3.6,1,Iris-setosa
-0.897674,0.166667,3.3,1.7,Iris-setosa
-1.259964,0.041667,3.4,1.9,Iris-setosa
-1.018437,0.041667,3,1.6,Iris-setosa
-1.018437,0.125,3.4,1.6,Iris-setosa
-0.776911,0.041667,3.5,1.5,Iris-setosa
-0.776911,0.041667,3.4,1.4,Iris-setosa
-1.380727,0.041667,3.2,1.6,Iris-setosa
-1.259964,0.041667,3.1,1.6,Iris-setosa
-0.535384,0.125,3.4,1.5,Iris-setosa
-0.776911,0,4.1,1.5,Iris-setosa
-0.414621,0.041667,4.2,1.4,Iris-setosa
-1.1392,0,3.1,1.5,Iris-setosa
-1.018437,0.041667,3.2,1.2,Iris-setosa
-0.414621,0.041667,3.5,1.3,Iris-setosa
-1.1392,0,3.1,1.5,Iris-setosa
-1.743017,0.041667,3,1.3,Iris-setosa
-0.897674,0.041667,3.4,1.5,Iris-setosa
-1.018437,0.083333,3.5,1.3,Iris-setosa
-1.622254,0.083333,2.3,1.3,Iris-setosa
-1.743017,0.041667,3.2,1.3,Iris-setosa
-1.018437,0.208333,3.5,1.6,Iris-setosa
-0.897674,0.125,3.8,1.9,Iris-setosa
-1.259964,0.083333,3,1.4,Iris-setosa
-0.897674,0.041667,3.8,1.6,Iris-setosa
-1.50149,0.041667,3.2,1.4,Iris-setosa
-0.656147,0.041667,3.7,1.5,Iris-setosa
-1.018437,0.041667,3.3,1.4,Iris-setosa
1.396829,0.541667,3.2,4.7,Iris-versicolor
0.672249,0.583333,3.2,4.5,Iris-versicolor
1.276066,0.583333,3.1,4.9,Iris-versicolor
-0.414621,0.5,2.3,4,Iris-versicolor
