@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2'

@attribute 'filtered-0-unfiltered-sepal width in cm' {'\'(-inf-2.55]\'','\'(2.55-2.75]\'','\'(2.75-2.85]\'','\'(2.85-2.95]\'','\'(2.95-3.05]\'','\'(3.05-3.15]\'','\'(3.15-3.25]\'','\'(3.25-3.45]\'','\'(3.45-3.75]\'','\'(3.75-inf)\''}
@attribute 'unfiltered-filtered-0-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(3.45-3.75]\'',0.222222,1.4,0.2,Iris-setosa
'\'(2.95-3.05]\'',0.166667,1.4,0.2,Iris-setosa
'\'(3.15-3.25]\'',0.111111,1.3,0.2,Iris-setosa
'\'(3.05-3.15]\'',0.083333,1.5,0.2,Iris-setosa
'\'(3.45-3.75]\'',0.194444,1.4,0.2,Iris-setosa
'\'(3.75-inf)\'',0.305556,1.7,0.4,Iris-setosa
'\'(3.25-3.45]\'',0.083333,1.4,0.3,Iris-setosa
'\'(3.25-3.45]\'',0.194444,1.5,0.2,Iris-setosa
'\'(2.85-2.95]\'',0.027778,1.4,0.2,Iris-setosa
'\'(3.05-3.15]\'',0.166667,1.5,0.1,Iris-setosa
'\'(3.45-3.75]\'',0.305556,1.5,0.2,Iris-setosa
'\'(3.25-3.45]\'',0.138889,1.6,0.2,Iris-setosa
'\'(2.95-3.05]\'',0.138889,1.4,0.1,Iris-setosa
'\'(2.95-3.05]\'',0,1.1,0.1,Iris-setosa
'\'(3.75-inf)\'',0.416667,1.2,0.2,Iris-setosa
'\'(3.75-inf)\'',0.388889,1.5,0.4,Iris-setosa
'\'(3.75-inf)\'',0.305556,1.3,0.4,Iris-setosa
'\'(3.45-3.75]\'',0.222222,1.4,0.3,Iris-setosa
'\'(3.75-inf)\'',0.388889,1.7,0.3,Iris-setosa
'\'(3.75-inf)\'',0.222222,1.5,0.3,Iris-setosa
'\'(3.25-3.45]\'',0.305556,1.7,0.2,Iris-setosa
'\'(3.45-3.75]\'',0.222222,1.5,0.4,Iris-setosa
'\'(3.45-3.75]\'',0.083333,1,0.2,Iris-setosa
'\'(3.25-3.45]\'',0.222222,1.7,0.5,Iris-setosa
'\'(3.25-3.45]\'',0.138889,1.9,0.2,Iris-setosa
'\'(2.95-3.05]\'',0.194444,1.6,0.2,Iris-setosa
'\'(3.25-3.45]\'',0.194444,1.6,0.4,Iris-setosa
'\'(3.45-3.75]\'',0.25,1.5,0.2,Iris-setosa
'\'(3.25-3.45]\'',0.25,1.4,0.2,Iris-setosa
'\'(3.15-3.25]\'',0.111111,1.6,0.2,Iris-setosa
'\'(3.05-3.15]\'',0.138889,1.6,0.2,Iris-setosa
'\'(3.25-3.45]\'',0.305556,1.5,0.4,Iris-setosa
'\'(3.75-inf)\'',0.25,1.5,0.1,Iris-setosa
'\'(3.75-inf)\'',0.333333,1.4,0.2,Iris-setosa
'\'(3.05-3.15]\'',0.166667,1.5,0.1,Iris-setosa
'\'(3.15-3.25]\'',0.194444,1.2,0.2,Iris-setosa
'\'(3.45-3.75]\'',0.333333,1.3,0.2,Iris-setosa
'\'(3.05-3.15]\'',0.166667,1.5,0.1,Iris-setosa
'\'(2.95-3.05]\'',0.027778,1.3,0.2,Iris-setosa
'\'(3.25-3.45]\'',0.222222,1.5,0.2,Iris-setosa
'\'(3.45-3.75]\'',0.194444,1.3,0.3,Iris-setosa
'\'(-inf-2.55]\'',0.055556,1.3,0.3,Iris-setosa
'\'(3.15-3.25]\'',0.027778,1.3,0.2,Iris-setosa
'\'(3.45-3.75]\'',0.194444,1.6,0.6,Iris-setosa
'\'(3.75-inf)\'',0.222222,1.9,0.4,Iris-setosa
'\'(2.95-3.05]\'',0.138889,1.4,0.3,Iris-setosa
'\'(3.75-inf)\'',0.222222,1.6,0.2,Iris-setosa
'\'(3.15-3.25]\'',0.083333,1.4,0.2,Iris-setosa
'\'(3.45-3.75]\'',0.277778,1.5,0.2,Iris-setosa
'\'(3.25-3.45]\'',0.194444,1.4,0.2,Iris-setosa
'\'(3.15-3.25]\'',0.75,4.7,1.4,Iris-versicolor
'\'(3.15-3.25]\'',0.583333,4.5,1.5,Iris-versicolor
'\'(3.05-3.15]\'',0.722222,4.9,1.5,Iris-versicolor
'\'(-inf-2.55]\'',0.333333,4,1.3,Iris-versicolor
'\'(2.75-2.85]\'',0.611111,4.6,1.5,Iris-versicolor
'\'(2.75-2.85]\'',0.388889,4.5,1.3,Iris-versicolor
'\'(3.25-3.45]\'',0.555556,4.7,1.6,Iris-versicolor
'\'(-inf-2.55]\'',0.166667,3.3,1,Iris-versicolor
'\'(2.85-2.95]\'',0.638889,4.6,1.3,Iris-versicolor
'\'(2.55-2.75]\'',0.25,3.9,1.4,Iris-versicolor
'\'(-inf-2.55]\'',0.194444,3.5,1,Iris-versicolor
'\'(2.95-3.05]\'',0.444444,4.2,1.5,Iris-versicolor
'\'(-inf-2.55]\'',0.472222,4,1,Iris-versicolor
'\'(2.85-2.95]\'',0.5,4.7,1.4,Iris-versicolor
'\'(2.85-2.95]\'',0.361111,3.6,1.3,Iris-versicolor
'\'(3.05-3.15]\'',0.666667,4.4,1.4,Iris-versicolor
'\'(2.95-3.05]\'',0.361111,4.5,1.5,Iris-versicolor
'\'(2.55-2.75]\'',0.416667,4.1,1,Iris-versicolor
'\'(-inf-2.55]\'',0.527778,4.5,1.5,Iris-versicolor
'\'(-inf-2.55]\'',0.361111,3.9,1.1,Iris-versicolor
'\'(3.15-3.25]\'',0.444444,4.8,1.8,Iris-versicolor
'\'(2.75-2.85]\'',0.5,4,1.3,Iris-versicolor
'\'(-inf-2.55]\'',0.555556,4.9,1.5,Iris-versicolor
'\'(2.75-2.85]\'',0.5,4.7,1.2,Iris-versicolor
'\'(2.85-2.95]\'',0.583333,4.3,1.3,Iris-versicolor
'\'(2.95-3.05]\'',0.638889,4.4,1.4,Iris-versicolor
'\'(2.75-2.85]\'',0.694444,4.8,1.4,Iris-versicolor
'\'(2.95-3.05]\'',0.666667,5,1.7,Iris-versicolor
'\'(2.85-2.95]\'',0.472222,4.5,1.5,Iris-versicolor
'\'(2.55-2.75]\'',0.388889,3.5,1,Iris-versicolor
'\'(-inf-2.55]\'',0.333333,3.8,1.1,Iris-versicolor
'\'(-inf-2.55]\'',0.333333,3.7,1,Iris-versicolor
'\'(2.55-2.75]\'',0.416667,3.9,1.2,Iris-versicolor
'\'(2.55-2.75]\'',0.472222,5.1,1.6,Iris-versicolor
'\'(2.95-3.05]\'',0.305556,4.5,1.5,Iris-versicolor
'\'(3.25-3.45]\'',0.472222,4.5,1.6,Iris-versicolor
