@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2'

@attribute 'filtered-0-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-petal length in cm' {'\'(-inf--1.22911]\'','\'(-1.22911--0.894723]\'','\'(-0.894723--0.560335]\'','\'(-0.560335--0.225948]\'','\'(-0.225948-0.10844]\'','\'(0.10844-0.442827]\'','\'(0.442827-0.777215]\'','\'(0.777215-1.111602]\'','\'(1.111602-1.445989]\'','\'(1.445989-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-0.897674,'\'(-inf--1.22911]\'',3.5,0.2,Iris-setosa
-1.1392,'\'(-inf--1.22911]\'',3,0.2,Iris-setosa
-1.380727,'\'(-inf--1.22911]\'',3.2,0.2,Iris-setosa
-1.50149,'\'(-inf--1.22911]\'',3.1,0.2,Iris-setosa
-1.018437,'\'(-inf--1.22911]\'',3.6,0.2,Iris-setosa
-0.535384,'\'(-1.22911--0.894723]\'',3.9,0.4,Iris-setosa
-1.50149,'\'(-inf--1.22911]\'',3.4,0.3,Iris-setosa
-1.018437,'\'(-inf--1.22911]\'',3.4,0.2,Iris-setosa
-1.743017,'\'(-inf--1.22911]\'',2.9,0.2,Iris-setosa
-1.1392,'\'(-inf--1.22911]\'',3.1,0.1,Iris-setosa
-0.535384,'\'(-inf--1.22911]\'',3.7,0.2,Iris-setosa
-1.259964,'\'(-1.22911--0.894723]\'',3.4,0.2,Iris-setosa
-1.259964,'\'(-inf--1.22911]\'',3,0.1,Iris-setosa
-1.86378,'\'(-inf--1.22911]\'',3,0.1,Iris-setosa
-0.052331,'\'(-inf--1.22911]\'',4,0.2,Iris-setosa
-0.173094,'\'(-inf--1.22911]\'',4.4,0.4,Iris-setosa
-0.535384,'\'(-inf--1.22911]\'',3.9,0.4,Iris-setosa
-0.897674,'\'(-inf--1.22911]\'',3.5,0.3,Iris-setosa
-0.173094,'\'(-1.22911--0.894723]\'',3.8,0.3,Iris-setosa
-0.897674,'\'(-inf--1.22911]\'',3.8,0.3,Iris-setosa
-0.535384,'\'(-1.22911--0.894723]\'',3.4,0.2,Iris-setosa
-0.897674,'\'(-inf--1.22911]\'',3.7,0.4,Iris-setosa
-1.50149,'\'(-inf--1.22911]\'',3.6,0.2,Iris-setosa
-0.897674,'\'(-1.22911--0.894723]\'',3.3,0.5,Iris-setosa
-1.259964,'\'(-1.22911--0.894723]\'',3.4,0.2,Iris-setosa
-1.018437,'\'(-1.22911--0.894723]\'',3,0.2,Iris-setosa
-1.018437,'\'(-1.22911--0.894723]\'',3.4,0.4,Iris-setosa
-0.776911,'\'(-inf--1.22911]\'',3.5,0.2,Iris-setosa
-0.776911,'\'(-inf--1.22911]\'',3.4,0.2,Iris-setosa
-1.380727,'\'(-1.22911--0.894723]\'',3.2,0.2,Iris-setosa
-1.259964,'\'(-1.22911--0.894723]\'',3.1,0.2,Iris-setosa
-0.535384,'\'(-inf--1.22911]\'',3.4,0.4,Iris-setosa
-0.776911,'\'(-inf--1.22911]\'',4.1,0.1,Iris-setosa
-0.414621,'\'(-inf--1.22911]\'',4.2,0.2,Iris-setosa
-1.1392,'\'(-inf--1.22911]\'',3.1,0.1,Iris-setosa
-1.018437,'\'(-inf--1.22911]\'',3.2,0.2,Iris-setosa
-0.414621,'\'(-inf--1.22911]\'',3.5,0.2,Iris-setosa
-1.1392,'\'(-inf--1.22911]\'',3.1,0.1,Iris-setosa
-1.743017,'\'(-inf--1.22911]\'',3,0.2,Iris-setosa
-0.897674,'\'(-inf--1.22911]\'',3.4,0.2,Iris-setosa
-1.018437,'\'(-inf--1.22911]\'',3.5,0.3,Iris-setosa
-1.622254,'\'(-inf--1.22911]\'',2.3,0.3,Iris-setosa
-1.743017,'\'(-inf--1.22911]\'',3.2,0.2,Iris-setosa
-1.018437,'\'(-1.22911--0.894723]\'',3.5,0.6,Iris-setosa
-0.897674,'\'(-1.22911--0.894723]\'',3.8,0.4,Iris-setosa
