@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2'

@attribute 'filtered-0-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-petal length in cm' {'\'(-inf--1.365132]\'','\'(-1.365132--1.308456]\'','\'(-1.308456--1.25178]\'','\'(-1.25178--0.203277]\'','\'(-0.203277-0.221791]\'','\'(0.221791-0.448495]\'','\'(0.448495-0.675198]\'','\'(0.675198-0.901901]\'','\'(0.901901-1.128605]\'','\'(1.128605-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.222222,'\'(-1.365132--1.308456]\'',3.5,0.2,Iris-setosa
0.166667,'\'(-1.365132--1.308456]\'',3,0.2,Iris-setosa
0.111111,'\'(-inf--1.365132]\'',3.2,0.2,Iris-setosa
0.083333,'\'(-1.308456--1.25178]\'',3.1,0.2,Iris-setosa
0.194444,'\'(-1.365132--1.308456]\'',3.6,0.2,Iris-setosa
0.305556,'\'(-1.25178--0.203277]\'',3.9,0.4,Iris-setosa
0.083333,'\'(-1.365132--1.308456]\'',3.4,0.3,Iris-setosa
0.194444,'\'(-1.308456--1.25178]\'',3.4,0.2,Iris-setosa
0.027778,'\'(-1.365132--1.308456]\'',2.9,0.2,Iris-setosa
0.166667,'\'(-1.308456--1.25178]\'',3.1,0.1,Iris-setosa
0.305556,'\'(-1.308456--1.25178]\'',3.7,0.2,Iris-setosa
0.138889,'\'(-1.25178--0.203277]\'',3.4,0.2,Iris-setosa
0.138889,'\'(-1.365132--1.308456]\'',3,0.1,Iris-setosa
0,'\'(-inf--1.365132]\'',3,0.1,Iris-setosa
0.416667,'\'(-inf--1.365132]\'',4,0.2,Iris-setosa
0.388889,'\'(-1.308456--1.25178]\'',4.4,0.4,Iris-setosa
0.305556,'\'(-inf--1.365132]\'',3.9,0.4,Iris-setosa
0.222222,'\'(-1.365132--1.308456]\'',3.5,0.3,Iris-setosa
0.388889,'\'(-1.25178--0.203277]\'',3.8,0.3,Iris-setosa
0.222222,'\'(-1.308456--1.25178]\'',3.8,0.3,Iris-setosa
0.305556,'\'(-1.25178--0.203277]\'',3.4,0.2,Iris-setosa
0.222222,'\'(-1.308456--1.25178]\'',3.7,0.4,Iris-setosa
0.083333,'\'(-inf--1.365132]\'',3.6,0.2,Iris-setosa
0.222222,'\'(-1.25178--0.203277]\'',3.3,0.5,Iris-setosa
0.138889,'\'(-1.25178--0.203277]\'',3.4,0.2,Iris-setosa
0.194444,'\'(-1.25178--0.203277]\'',3,0.2,Iris-setosa
0.194444,'\'(-1.25178--0.203277]\'',3.4,0.4,Iris-setosa
0.25,'\'(-1.308456--1.25178]\'',3.5,0.2,Iris-setosa
0.25,'\'(-1.365132--1.308456]\'',3.4,0.2,Iris-setosa
0.111111,'\'(-1.25178--0.203277]\'',3.2,0.2,Iris-setosa
0.138889,'\'(-1.25178--0.203277]\'',3.1,0.2,Iris-setosa
0.305556,'\'(-1.308456--1.25178]\'',3.4,0.4,Iris-setosa
0.25,'\'(-1.308456--1.25178]\'',4.1,0.1,Iris-setosa
0.333333,'\'(-1.365132--1.308456]\'',4.2,0.2,Iris-setosa
