@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2'

@attribute 'filtered-0-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-0.897674,'\'(0.15-0.25]\'',3.5,1.4,Iris-setosa
-1.1392,'\'(0.15-0.25]\'',3,1.4,Iris-setosa
-1.380727,'\'(0.15-0.25]\'',3.2,1.3,Iris-setosa
-1.50149,'\'(0.15-0.25]\'',3.1,1.5,Iris-setosa
-1.018437,'\'(0.15-0.25]\'',3.6,1.4,Iris-setosa
-0.535384,'\'(0.25-0.55]\'',3.9,1.7,Iris-setosa
-1.50149,'\'(0.25-0.55]\'',3.4,1.4,Iris-setosa
-1.018437,'\'(0.15-0.25]\'',3.4,1.5,Iris-setosa
-1.743017,'\'(0.15-0.25]\'',2.9,1.4,Iris-setosa
-1.1392,'\'(-inf-0.15]\'',3.1,1.5,Iris-setosa
-0.535384,'\'(0.15-0.25]\'',3.7,1.5,Iris-setosa
-1.259964,'\'(0.15-0.25]\'',3.4,1.6,Iris-setosa
-1.259964,'\'(-inf-0.15]\'',3,1.4,Iris-setosa
-1.86378,'\'(-inf-0.15]\'',3,1.1,Iris-setosa
-0.052331,'\'(0.15-0.25]\'',4,1.2,Iris-setosa
-0.173094,'\'(0.25-0.55]\'',4.4,1.5,Iris-setosa
-0.535384,'\'(0.25-0.55]\'',3.9,1.3,Iris-setosa
-0.897674,'\'(0.25-0.55]\'',3.5,1.4,Iris-setosa
-0.173094,'\'(0.25-0.55]\'',3.8,1.7,Iris-setosa
-0.897674,'\'(0.25-0.55]\'',3.8,1.5,Iris-setosa
-0.535384,'\'(0.15-0.25]\'',3.4,1.7,Iris-setosa
-0.897674,'\'(0.25-0.55]\'',3.7,1.5,Iris-setosa
-1.50149,'\'(0.15-0.25]\'',3.6,1,Iris-setosa
-0.897674,'\'(0.25-0.55]\'',3.3,1.7,Iris-setosa
-1.259964,'\'(0.15-0.25]\'',3.4,1.9,Iris-setosa
-1.018437,'\'(0.15-0.25]\'',3,1.6,Iris-setosa
-1.018437,'\'(0.25-0.55]\'',3.4,1.6,Iris-setosa
-0.776911,'\'(0.15-0.25]\'',3.5,1.5,Iris-setosa
-0.776911,'\'(0.15-0.25]\'',3.4,1.4,Iris-setosa
-1.380727,'\'(0.15-0.25]\'',3.2,1.6,Iris-setosa
-1.259964,'\'(0.15-0.25]\'',3.1,1.6,Iris-setosa
-0.535384,'\'(0.25-0.55]\'',3.4,1.5,Iris-setosa
-0.776911,'\'(-inf-0.15]\'',4.1,1.5,Iris-setosa
-0.414621,'\'(0.15-0.25]\'',4.2,1.4,Iris-setosa
-1.1392,'\'(-inf-0.15]\'',3.1,1.5,Iris-setosa
-1.018437,'\'(0.15-0.25]\'',3.2,1.2,Iris-setosa
-0.414621,'\'(0.15-0.25]\'',3.5,1.3,Iris-setosa
-1.1392,'\'(-inf-0.15]\'',3.1,1.5,Iris-setosa
-1.743017,'\'(0.15-0.25]\'',3,1.3,Iris-setosa
-0.897674,'\'(0.15-0.25]\'',3.4,1.5,Iris-setosa
-1.018437,'\'(0.25-0.55]\'',3.5,1.3,Iris-setosa
-1.622254,'\'(0.25-0.55]\'',2.3,1.3,Iris-setosa
-1.743017,'\'(0.15-0.25]\'',3.2,1.3,Iris-setosa
-1.018437,'\'(0.55-1.25]\'',3.5,1.6,Iris-setosa
-0.897674,'\'(0.25-0.55]\'',3.8,1.9,Iris-setosa
-1.259964,'\'(0.25-0.55]\'',3,1.4,Iris-setosa
-0.897674,'\'(0.15-0.25]\'',3.8,1.6,Iris-setosa
-1.50149,'\'(0.15-0.25]\'',3.2,1.4,Iris-setosa
-0.656147,'\'(0.15-0.25]\'',3.7,1.5,Iris-setosa
-1.018437,'\'(0.15-0.25]\'',3.3,1.4,Iris-setosa
1.396829,'\'(1.35-1.55]\'',3.2,4.7,Iris-versicolor
0.672249,'\'(1.35-1.55]\'',3.2,4.5,Iris-versicolor
1.276066,'\'(1.35-1.55]\'',3.1,4.9,Iris-versicolor
-0.414621,'\'(1.25-1.35]\'',2.3,4,Iris-versicolor
0.793012,'\'(1.35-1.55]\'',2.8,4.6,Iris-versicolor
-0.173094,'\'(1.25-1.35]\'',2.8,4.5,Iris-versicolor
0.551486,'\'(1.55-1.85]\'',3.3,4.7,Iris-versicolor
-1.1392,'\'(0.55-1.25]\'',2.4,3.3,Iris-versicolor
0.913776,'\'(1.25-1.35]\'',2.9,4.6,Iris-versicolor
-0.776911,'\'(1.35-1.55]\'',2.7,3.9,Iris-versicolor
-1.018437,'\'(0.55-1.25]\'',2,3.5,Iris-versicolor
0.068433,'\'(1.35-1.55]\'',3,4.2,Iris-versicolor
0.189196,'\'(0.55-1.25]\'',2.2,4,Iris-versicolor
0.309959,'\'(1.35-1.55]\'',2.9,4.7,Iris-versicolor
-0.293857,'\'(1.25-1.35]\'',2.9,3.6,Iris-versicolor
1.034539,'\'(1.35-1.55]\'',3.1,4.4,Iris-versicolor
-0.293857,'\'(1.35-1.55]\'',3,4.5,Iris-versicolor
-0.052331,'\'(0.55-1.25]\'',2.7,4.1,Iris-versicolor
0.430722,'\'(1.35-1.55]\'',2.2,4.5,Iris-versicolor
-0.293857,'\'(0.55-1.25]\'',2.5,3.9,Iris-versicolor
0.068433,'\'(1.55-1.85]\'',3.2,4.8,Iris-versicolor
0.309959,'\'(1.25-1.35]\'',2.8,4,Iris-versicolor
0.551486,'\'(1.35-1.55]\'',2.5,4.9,Iris-versicolor
0.309959,'\'(0.55-1.25]\'',2.8,4.7,Iris-versicolor
0.672249,'\'(1.25-1.35]\'',2.9,4.3,Iris-versicolor
0.913776,'\'(1.35-1.55]\'',3,4.4,Iris-versicolor
1.155302,'\'(1.35-1.55]\'',2.8,4.8,Iris-versicolor
1.034539,'\'(1.55-1.85]\'',3,5,Iris-versicolor
0.189196,'\'(1.35-1.55]\'',2.9,4.5,Iris-versicolor
-0.173094,'\'(0.55-1.25]\'',2.6,3.5,Iris-versicolor
-0.414621,'\'(0.55-1.25]\'',2.4,3.8,Iris-versicolor
-0.414621,'\'(0.55-1.25]\'',2.4,3.7,Iris-versicolor
-0.052331,'\'(0.55-1.25]\'',2.7,3.9,Iris-versicolor
0.189196,'\'(1.55-1.85]\'',2.7,5.1,Iris-versicolor
-0.535384,'\'(1.35-1.55]\'',3,4.5,Iris-versicolor
0.189196,'\'(1.55-1.85]\'',3.4,4.5,Iris-versicolor
1.034539,'\'(1.35-1.55]\'',3.1,4.7,Iris-versicolor
0.551486,'\'(1.25-1.35]\'',2.3,4.4,Iris-versicolor
-0.293857,'\'(1.25-1.35]\'',3,4.1,Iris-versicolor
-0.414621,'\'(1.25-1.35]\'',2.5,4,Iris-versicolor
-0.414621,'\'(0.55-1.25]\'',2.6,4.4,Iris-versicolor
0.309959,'\'(1.35-1.55]\'',3,4.6,Iris-versicolor
-0.052331,'\'(0.55-1.25]\'',2.6,4,Iris-versicolor
-1.018437,'\'(0.55-1.25]\'',2.3,3.3,Iris-versicolor
-0.293857,'\'(1.25-1.35]\'',2.7,4.2,Iris-versicolor
-0.173094,'\'(0.55-1.25]\'',3,4.2,Iris-versicolor
-0.173094,'\'(1.25-1.35]\'',2.9,4.2,Iris-versicolor
0.430722,'\'(1.25-1.35]\'',2.9,4.3,Iris-versicolor
-0.897674,'\'(0.55-1.25]\'',2.5,3,Iris-versicolor
-0.173094,'\'(1.25-1.35]\'',2.8,4.1,Iris-versicolor
0.551486,'\'(2.25-inf)\'',3.3,6,Iris-virginica
-0.052331,'\'(1.85-2.05]\'',2.7,5.1,Iris-virginica
1.517592,'\'(2.05-2.25]\'',3,5.9,Iris-virginica
0.551486,'\'(1.55-1.85]\'',2.9,5.6,Iris-virginica
0.793012,'\'(2.05-2.25]\'',3,5.8,Iris-virginica
2.121409,'\'(2.05-2.25]\'',3,6.6,Iris-virginica
-1.1392,'\'(1.55-1.85]\'',2.5,4.5,Iris-virginica
1.759119,'\'(1.55-1.85]\'',2.9,6.3,Iris-virginica
1.034539,'\'(1.55-1.85]\'',2.5,5.8,Iris-virginica
1.638355,'\'(2.25-inf)\'',3.6,6.1,Iris-virginica
